Distance (µm),Cu Lα1_2 (counts),
23.1585467106843,735,
23.2347261406537,731,
23.310905570623,768,
23.3870850005924,749,
23.4632644305618,706,
23.5394438605311,743,
23.6156232905005,744,
23.6918027204698,750,
23.7679821504392,713,
23.8441615804085,770,
23.9203410103779,706,
23.9965204403472,756,
24.0726998703166,764,
24.148879300286,695,
24.2250587302553,737,
24.3012381602247,764,
24.377417590194,711,
24.4535970201634,726,
24.5297764501327,792,
24.6059558801021,710,
24.6821353100715,792,
24.7583147400408,756,
24.8344941700102,768,
24.9106735999795,752,
24.9868530299489,734,
25.0630324599182,746,
25.1392118898876,699,
25.2153913198569,730,
25.2915707498263,761,
25.3677501797957,698,
25.443929609765,757,
25.5201090397344,777,
25.5962884697037,745,
25.6724678996731,700,
25.7486473296424,684,
25.8248267596118,704,
25.9010061895811,749,
25.9771856195505,693,
26.0533650495199,735,
26.1295444794892,752,
26.2057239094586,692,
26.2819033394279,732,
26.3580827693973,752,
26.4342621993666,703,
26.510441629336,701,
26.5866210593054,708,
26.6628004892747,686,
26.7389799192441,665,
26.8151593492134,770,
26.8913387791828,685,
26.9675182091521,689,
27.0436976391215,668,
27.1198770690909,724,
27.1960564990602,651,
27.2722359290296,695,
27.3484153589989,669,
27.4245947889683,640,
27.5007742189376,622,
27.576953648907,630,
27.6531330788763,591,
27.7293125088457,645,
27.8054919388151,595,
27.8816713687844,582,
27.9578507987538,638,
28.0340302287231,552,
28.1102096586925,506,
28.1863890886618,429,
28.2625685186312,360,
28.3387479486006,277,
28.4149273785699,237,
28.4911068085393,200,
28.5672862385086,168,
28.643465668478,127,
28.7196450984473,132,
28.7958245284167,85,
28.8720039583861,85,
28.9481833883554,73,
29.0243628183248,52,
29.1005422482941,57,
29.1767216782635,40,
29.2529011082328,51,
29.3290805382022,40,
29.4052599681715,43,
29.4814393981409,37,
29.5576188281103,43,
29.6337982580796,44,
29.709977688049,38,
29.7861571180183,39,
29.8623365479877,54,
29.938515977957,52,
30.0146954079264,46,
30.0908748378958,47,
30.1670542678651,49,
30.2432336978345,38,
30.3194131278038,35,
30.3955925577732,40,
30.4717719877425,34,
30.5479514177119,61,
30.6241308476812,43,
30.7003102776506,49,
30.77648970762,77,
30.8526691375893,63,
30.9288485675587,72,
31.005027997528,86,
31.0812074274974,65,
31.1573868574667,60,
31.2335662874361,102,
31.3097457174054,90,
31.3859251473748,116,
31.4621045773442,146,
31.5382840073135,167,
31.6144634372829,212,
31.6906428672522,242,
31.7668222972216,321,
31.8430017271909,387,
31.9191811571603,449,
31.9953605871297,472,
32.071540017099,588,
32.1477194470684,555,
32.2238988770377,576,
32.3000783070071,642,
32.3762577369764,620,
32.4524371669458,642,
32.5286165969151,662,
32.6047960268845,650,
32.6809754568539,602,
32.7571548868232,612,
32.8333343167926,613,
32.9095137467619,612,
32.9856931767313,643,
33.0618726067006,666,
33.13805203667,632,
33.2142314666394,616,
33.2904108966087,613,
33.3665903265781,623,
33.4427697565474,600,
33.5189491865168,607,
33.5951286164861,613,
33.6713080464555,591,
33.7474874764249,595,
33.8236669063942,559,
33.8998463363636,593,
33.9760257663329,613,
34.0522051963023,645,
34.1283846262716,685,
34.204564056241,617,
34.2807434862104,676,
34.3569229161797,578,
34.4331023461491,582,
34.5092817761184,663,
34.5854612060878,665,
34.6616406360571,714,
34.7378200660265,670,
34.8139994959958,682,
34.8901789259652,756,
34.9663583559346,711,
35.0425377859039,741,
35.1187172158733,739,
35.1948966458426,740,
35.271076075812,714,
35.3472555057813,743,
35.4234349357507,758,
35.49961436572,743,
35.5757937956894,780,
35.6519732256588,760,
35.7281526556281,702,
35.8043320855975,676,
35.8805115155668,738,
35.9566909455362,780,
36.0328703755055,723,
36.1090498054749,771,
36.1852292354443,723,
36.2614086654136,753,
36.337588095383,734,
36.4137675253523,788,
36.4899469553217,759,
36.566126385291,784,
36.6423058152604,761,
36.7184852452298,742,
36.7946646751991,759,
36.8708441051685,777,
36.9470235351378,763,
37.0232029651072,760,
37.0993823950765,742,
37.1755618250459,737,
37.2517412550152,730,
37.3279206849846,759,
37.404100114954,761,
37.4802795449233,748,
37.5564589748927,724,
37.632638404862,763,
37.7088178348314,738,
37.7849972648007,755,
37.8611766947701,781,
37.9373561247395,812,
38.0135355547088,792,
