Distance (µm),Pb Mα1 (counts),
11.6554527853115,59,
11.7316322152809,51,
11.8078116452502,37,
11.8839910752196,32,
11.9601705051889,36,
12.0363499351583,43,
12.1125293651277,42,
12.188708795097,42,
12.2648882250664,43,
12.3410676550357,45,
12.4172470850051,47,
12.4934265149744,34,
12.5696059449438,38,
12.6457853749132,29,
12.7219648048825,29,
12.7981442348519,49,
12.8743236648212,35,
12.9505030947906,30,
13.0266825247599,31,
13.1028619547293,44,
13.1790413846986,39,
13.255220814668,36,
13.3314002446374,31,
13.4075796746067,37,
13.4837591045761,42,
13.5599385345454,49,
13.6361179645148,41,
13.7122973944841,32,
13.7884768244535,31,
13.8646562544229,40,
13.9408356843922,34,
14.0170151143616,32,
14.0931945443309,22,
14.1693739743003,31,
14.2455534042696,27,
14.321732834239,27,
14.3979122642083,33,
14.4740916941777,35,
14.5502711241471,24,
14.6264505541164,29,
14.7026299840858,40,
14.7788094140551,32,
14.8549888440245,27,
14.9311682739938,27,
15.0073477039632,41,
15.0835271339326,34,
15.1597065639019,31,
15.2358859938713,34,
15.3120654238406,28,
15.38824485381,35,
15.4644242837793,31,
15.5406037137487,43,
15.6167831437181,35,
15.6929625736874,25,
15.7691420036568,22,
15.8453214336261,32,
15.9215008635955,32,
15.9976802935648,34,
16.0738597235342,26,
16.1500391535035,31,
16.2262185834729,25,
16.3023980134423,33,
16.3785774434116,29,
16.454756873381,35,
16.5309363033503,27,
16.6071157333197,29,
16.683295163289,30,
16.7594745932584,31,
16.8356540232277,30,
16.9118334531971,26,
16.9880128831665,28,
17.0641923131358,30,
17.1403717431052,40,
17.2165511730745,29,
17.2927306030439,25,
17.3689100330132,31,
17.4450894629826,30,
17.521268892952,33,
17.5974483229213,39,
17.6736277528907,29,
17.74980718286,23,
17.8259866128294,33,
17.9021660427987,35,
17.9783454727681,37,
18.0545249027374,29,
18.1307043327068,38,
18.2068837626762,31,
18.2830631926455,33,
18.3592426226149,30,
18.4354220525842,31,
18.5116014825536,29,
18.5877809125229,35,
18.6639603424923,21,
18.7401397724617,22,
18.816319202431,19,
18.8924986324004,36,
18.9686780623697,33,
19.0448574923391,27,
19.1210369223084,37,
19.1972163522778,36,
19.2733957822471,31,
19.3495752122165,25,
19.4257546421859,28,
19.5019340721552,27,
19.5781135021246,35,
19.6542929320939,26,
19.7304723620633,28,
19.8066517920326,34,
19.882831222002,25,
19.9590106519714,29,
20.0351900819407,21,
20.1113695119101,30,
20.1875489418794,32,
20.2637283718488,23,
20.3399078018181,34,
20.4160872317875,34,
20.4922666617569,34,
20.5684460917262,33,
20.6446255216956,34,
20.7208049516649,22,
20.7969843816343,24,
20.8731638116036,27,
20.949343241573,31,
21.0255226715423,31,
21.1017021015117,22,
21.1778815314811,32,
21.2540609614504,23,
21.3302403914198,35,
21.4064198213891,30,
21.4825992513585,27,
21.5587786813278,16,
21.6349581112972,33,
21.7111375412666,29,
21.7873169712359,26,
21.8634964012053,25,
21.9396758311746,31,
22.015855261144,30,
22.0920346911133,25,
22.1682141210827,33,
22.244393551052,21,
22.3205729810214,26,
22.3967524109908,25,
22.4729318409601,29,
22.5491112709295,27,
22.6252907008988,34,
22.7014701308682,24,
22.7776495608375,23,
22.8538289908069,22,
22.9300084207763,22,
23.0061878507456,19,
23.082367280715,24,
23.1585467106843,26,
23.2347261406537,27,
23.310905570623,28,
23.3870850005924,28,
23.4632644305618,19,
23.5394438605311,22,
23.6156232905005,23,
23.6918027204698,26,
23.7679821504392,25,
23.8441615804085,25,
23.9203410103779,22,
23.9965204403472,28,
24.0726998703166,28,
24.148879300286,17,
24.2250587302553,26,
24.3012381602247,22,
24.377417590194,24,
24.4535970201634,26,
24.5297764501327,19,
24.6059558801021,28,
24.6821353100715,30,
24.7583147400408,28,
24.8344941700102,27,
24.9106735999795,29,
24.9868530299489,30,
25.0630324599182,19,
25.1392118898876,30,
25.2153913198569,28,
25.2915707498263,19,
25.3677501797957,23,
25.443929609765,27,
25.5201090397344,29,
25.5962884697037,26,
25.6724678996731,22,
25.7486473296424,28,
25.8248267596118,35,
25.9010061895811,29,
25.9771856195505,35,
26.0533650495199,34,
26.1295444794892,28,
26.2057239094586,28,
26.2819033394279,31,
26.3580827693973,45,
26.4342621993666,35,
26.510441629336,39,
26.5866210593054,34,
26.6628004892747,33,
26.7389799192441,40,
26.8151593492134,36,
26.8913387791828,24,
26.9675182091521,36,
27.0436976391215,40,
27.1198770690909,41,
27.1960564990602,26,
27.2722359290296,47,
27.3484153589989,36,
27.4245947889683,47,
27.5007742189376,50,
27.576953648907,47,
27.6531330788763,68,
27.7293125088457,59,
27.8054919388151,72,
27.8816713687844,98,
27.9578507987538,120,
28.0340302287231,167,
28.1102096586925,209,
28.1863890886618,252,
28.2625685186312,305,
28.3387479486006,395,
28.4149273785699,461,
28.4911068085393,492,
28.5672862385086,524,
28.643465668478,618,
28.7196450984473,623,
28.7958245284167,680,
28.8720039583861,716,
28.9481833883554,762,
29.0243628183248,780,
29.1005422482941,852,
29.1767216782635,787,
29.2529011082328,826,
29.3290805382022,813,
29.4052599681715,849,
29.4814393981409,858,
29.5576188281103,869,
29.6337982580796,821,
29.709977688049,806,
29.7861571180183,835,
29.8623365479877,740,
29.938515977957,730,
30.0146954079264,789,
30.0908748378958,756,
30.1670542678651,764,
30.2432336978345,829,
30.3194131278038,814,
30.3955925577732,735,
30.4717719877425,779,
30.5479514177119,775,
30.6241308476812,769,
30.7003102776506,795,
30.77648970762,767,
30.8526691375893,696,
30.9288485675587,738,
31.005027997528,755,
31.0812074274974,713,
31.1573868574667,744,
31.2335662874361,739,
31.3097457174054,706,
31.3859251473748,731,
31.4621045773442,751,
31.5382840073135,649,
31.6144634372829,543,
31.6906428672522,501,
31.7668222972216,389,
31.8430017271909,332,
31.9191811571603,239,
31.9953605871297,217,
32.071540017099,155,
32.1477194470684,138,
32.2238988770377,128,
32.3000783070071,82,
32.3762577369764,65,
32.4524371669458,80,
32.5286165969151,54,
32.6047960268845,47,
32.6809754568539,59,
32.7571548868232,58,
32.8333343167926,59,
32.9095137467619,49,
32.9856931767313,59,
33.0618726067006,53,
33.13805203667,44,
33.2142314666394,63,
33.2904108966087,54,
33.3665903265781,47,
33.4427697565474,63,
33.5189491865168,38,
33.5951286164861,44,
33.6713080464555,51,
33.7474874764249,44,
33.8236669063942,63,
33.8998463363636,36,
33.9760257663329,60,
34.0522051963023,49,
34.1283846262716,51,
34.204564056241,50,
34.2807434862104,37,
34.3569229161797,42,
34.4331023461491,44,
34.5092817761184,48,
34.5854612060878,31,
34.6616406360571,38,
34.7378200660265,45,
34.8139994959958,28,
34.8901789259652,31,
34.9663583559346,40,
35.0425377859039,36,
35.1187172158733,39,
35.1948966458426,28,
35.271076075812,33,
35.3472555057813,19,
35.4234349357507,39,
35.49961436572,25,
35.5757937956894,31,
35.6519732256588,29,
35.7281526556281,29,
35.8043320855975,37,
35.8805115155668,23,
35.9566909455362,30,
36.0328703755055,23,
36.1090498054749,20,
36.1852292354443,26,
36.2614086654136,37,
36.337588095383,24,
36.4137675253523,17,
36.4899469553217,21,
36.566126385291,24,
36.6423058152604,26,
36.7184852452298,31,
36.7946646751991,20,
36.8708441051685,25,
36.9470235351378,25,
37.0232029651072,32,
37.0993823950765,23,
37.1755618250459,24,
37.2517412550152,26,
37.3279206849846,21,
37.404100114954,25,
37.4802795449233,24,
37.5564589748927,16,
37.632638404862,14,
37.7088178348314,26,
37.7849972648007,26,
37.8611766947701,15,
37.9373561247395,24,
38.0135355547088,19,
