Distance (µm),Zn Lα1_2 (counts),
23.1585467106843,244,
23.2347261406537,261,
23.310905570623,251,
23.3870850005924,263,
23.4632644305618,257,
23.5394438605311,235,
23.6156232905005,245,
23.6918027204698,230,
23.7679821504392,238,
23.8441615804085,227,
23.9203410103779,272,
23.9965204403472,277,
24.0726998703166,274,
24.148879300286,265,
24.2250587302553,302,
24.3012381602247,261,
24.377417590194,255,
24.4535970201634,260,
24.5297764501327,269,
24.6059558801021,252,
24.6821353100715,254,
24.7583147400408,233,
24.8344941700102,266,
24.9106735999795,282,
24.9868530299489,263,
25.0630324599182,276,
25.1392118898876,256,
25.2153913198569,251,
25.2915707498263,283,
25.3677501797957,235,
25.443929609765,228,
25.5201090397344,244,
25.5962884697037,235,
25.6724678996731,241,
25.7486473296424,234,
25.8248267596118,285,
25.9010061895811,243,
25.9771856195505,224,
26.0533650495199,244,
26.1295444794892,266,
26.2057239094586,199,
26.2819033394279,245,
26.3580827693973,239,
26.4342621993666,252,
26.510441629336,226,
26.5866210593054,226,
26.6628004892747,236,
26.7389799192441,237,
26.8151593492134,266,
26.8913387791828,249,
26.9675182091521,239,
27.0436976391215,254,
27.1198770690909,238,
27.1960564990602,225,
27.2722359290296,184,
27.3484153589989,205,
27.4245947889683,202,
27.5007742189376,238,
27.576953648907,218,
27.6531330788763,226,
27.7293125088457,224,
27.8054919388151,223,
27.8816713687844,220,
27.9578507987538,250,
28.0340302287231,184,
28.1102096586925,174,
28.1863890886618,168,
28.2625685186312,132,
28.3387479486006,120,
28.4149273785699,74,
28.4911068085393,67,
28.5672862385086,80,
28.643465668478,57,
28.7196450984473,55,
28.7958245284167,50,
28.8720039583861,51,
28.9481833883554,37,
29.0243628183248,35,
29.1005422482941,34,
29.1767216782635,28,
29.2529011082328,32,
29.3290805382022,33,
29.4052599681715,38,
29.4814393981409,31,
29.5576188281103,30,
29.6337982580796,20,
29.709977688049,34,
29.7861571180183,31,
29.8623365479877,34,
29.938515977957,45,
30.0146954079264,33,
30.0908748378958,51,
30.1670542678651,22,
30.2432336978345,25,
30.3194131278038,28,
30.3955925577732,28,
30.4717719877425,34,
30.5479514177119,42,
30.6241308476812,35,
30.7003102776506,46,
30.77648970762,41,
30.8526691375893,47,
30.9288485675587,67,
31.005027997528,45,
31.0812074274974,52,
31.1573868574667,58,
31.2335662874361,57,
31.3097457174054,58,
31.3859251473748,68,
31.4621045773442,83,
31.5382840073135,111,
31.6144634372829,117,
31.6906428672522,143,
31.7668222972216,195,
31.8430017271909,225,
31.9191811571603,228,
31.9953605871297,221,
32.071540017099,261,
32.1477194470684,226,
32.2238988770377,240,
32.3000783070071,250,
32.3762577369764,268,
32.4524371669458,254,
32.5286165969151,282,
32.6047960268845,240,
32.6809754568539,243,
32.7571548868232,252,
32.8333343167926,244,
32.9095137467619,212,
32.9856931767313,230,
33.0618726067006,247,
33.13805203667,244,
33.2142314666394,218,
